0,Broadcom Inc,Stock,Dividend (Of Cash),2021-06-30,0.0,180.0,USD
1,Bank Of America Corp,Stock,Dividend (Of Cash),2021-06-25,0.0,144.0,USD
2,Vanguard FTSE Developed Markets ETF,ETF,Dividend (Of Cash),2021-06-24,0.0,1116.45,USD
3,SPDR S&P 600 Small Cap Value ETF,ETF,Dividend (Of Cash),2021-06-24,0.0,238.72,USD
4,CIGNA Corp,Stock,Dividend (Of Cash),2021-06-23,0.0,130.0,USD
5,BlackRock Inc,Stock,Dividend (Of Cash),2021-06-23,0.0,144.55,USD
6,Prudential Finl,Stock,Dividend (Of Cash),2021-06-17,0.0,230.0,USD
7,Home Depot Inc,Stock,Dividend (Of Cash),2021-06-17,0.0,181.5,USD
9,iShares MSCI Emerging Markets ETF,ETF,Dividend (Of Cash),2021-06-16,0.0,325.09,USD
10,iShares Core S&P Mid Cap ETF,ETF,Dividend (Of Cash),2021-06-16,0.0,184.59,USD
11,iShares MSCI EAFE Growth ETF,ETF,Dividend (Of Cash),2021-06-16,0.0,620.77,USD
12,Ishars Edg MSCI USA QLTY FCTR ETF,ETF,Dividend (Of Cash),2021-06-16,0.0,75.69,USD
14,L3harris Technologies In,Stock,Dividend (Of Cash),2021-06-15,0.0,76.5,USD
15,Masco Corp,Stock,Dividend (Of Cash),2021-06-14,0.0,47.0,USD
16,Microsoft Corp,Stock,Dividend (Of Cash),2021-06-10,0.0,112.0,USD
17,Marathon Pete Corp,Stock,Dividend (Of Cash),2021-06-10,0.0,232.0,USD
18,Emerson Electric Co,Stock,Dividend (Of Cash),2021-06-10,0.0,126.25,USD
19,Exxon Mobil Corp,Stock,Dividend (Of Cash),2021-06-10,0.0,130.5,USD
20,United Parcel SRVC Class                  B,Stock,Dividend (Of Cash),2021-06-09,0.0,153.0,USD
22,Amgen Inc.,Stock,Dividend (Of Cash),2021-06-08,0.0,105.6,USD
23,Johnson & Johnson,Stock,Dividend (Of Cash),2021-06-08,0.0,159.0,USD
24,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Dividend (Of Cash),2021-06-04,0.0,59.01,USD
25,Discover Finl S,Stock,Dividend (Of Cash),2021-06-03,0.0,110.0,USD
26,Cummins Inc,Stock,Dividend (Of Cash),2021-06-03,0.0,67.5,USD
27,Jabil Circuit Inc,Stock,Dividend (Of Cash),2021-06-02,0.0,24.0,USD
28,Walt Disney Co,Stock,Sell,2021-06-01,-25.0,4478.61,USD
29,Intel Corp,Stock,Dividend (Of Cash),2021-06-01,0.0,225.88,USD
30,Mastercard Inc Class                  A,Stock,Sell,2021-06-01,-25.0,9029.2,USD
31,Nike Inc Class                  B,Stock,Sell,2021-06-01,-25.0,3364.61,USD
32,Boston Scientific Co,Stock,Buy,2021-06-01,100.0,-4308.5,USD
33,Bristol-Myers Squibb,Stock,Buy,2021-06-01,150.0,-9779.34,USD
34,Chevron Corp,Stock,Buy,2021-06-01,100.0,-10647.5,USD
35,Kroger Co,Stock,Dividend (Of Cash),2021-06-01,0.0,63.0,USD
36,Borgwarner Inc Com,Stock,Buy,2021-06-01,200.0,-10589.04,USD
37,WalMart Inc,Stock,Dividend (Of Cash),2021-06-01,0.0,118.25,USD
38,Charles Schwab Corp,Stock,Dividend (Of Cash),2021-05-28,0.0,72.0,USD
39,Starbucks Corp,Stock,Dividend (Of Cash),2021-05-28,0.0,101.25,USD
40,Norfolk Southern Co,Stock,Dividend (Of Cash),2021-05-20,0.0,59.4,USD
43,Procter & Gamble,Stock,Dividend (Of Cash),2021-05-17,0.0,130.47,USD
44,Alibaba Group Holding  F Sponsored ADR,Stock,Fee,2021-05-11,0.0,-1.4,USD
45,Abbvie Inc,Stock,Dividend (Of Cash),2021-05-14,0.0,169.0,USD
46,Apple Inc,Stock,Dividend (Of Cash),2021-05-13,0.0,99.0,USD
47,Mastercard Inc Class                  A,Stock,Dividend (Of Cash),2021-05-07,0.0,55.0,USD
48,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Dividend (Of Cash),2021-05-06,0.0,76.91,USD
49,Jabil Circuit Inc,Stock,Buy,2021-05-04,300.0,-15542.97,USD
50,Marathon Pete Corp,Stock,Buy,2021-05-04,75.0,-4347.38,USD
51,VMware Inc Class A,Stock,Buy,2021-05-04,85.0,-13599.99,USD
52,J P Morgan Chase & Co,Stock,Buy,2021-05-04,35.0,-5419.09,USD
53,Cisco Systems Inc,Stock,Buy,2021-05-04,300.0,-15178.5,USD
54,Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,Interest Income,2021-05-01,0.0,125.0,USD
55,Virginia State Res  5%22 **Partial**,Bond,Interest Income,2021-05-01,0.0,1125.0,USD
56,J P Morgan Chase & Co,Stock,Dividend (Of Cash),2021-04-30,0.0,180.0,USD
57,Agilent Technologies,Stock,Dividend (Of Cash),2021-04-28,0.0,32.01,USD
58,Comcast Corp Class                  A,Stock,Dividend (Of Cash),2021-04-28,0.0,125.0,USD
60,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Sell,2021-04-20,-2000.0,102139.68,USD
61,Cerner Corp,Stock,Dividend (Of Cash),2021-04-20,0.0,55.0,USD
64,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Dividend (Of Cash),2021-04-07,0.0,86.88,USD
66,Eastman Chemical Co,Stock,Dividend (Of Cash),2021-04-05,0.0,172.5,USD
67,WalMart Inc,Stock,Dividend (Of Cash),2021-04-05,0.0,118.25,USD
68,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Sell,2021-04-01,-750.0,38276.05,USD
69,Mckesson Corp Exchange Offer,Stock,Dividend (Of Cash),2021-04-01,0.0,35.7,USD
71,Nike Inc Class                  B,Stock,Dividend (Of Cash),2021-04-01,0.0,55.0,USD
72,Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,Interest Income,2021-04-01,0.0,2500.0,USD
73,Ishars Edg MSCI USA QLTY FCTR ETF,ETF,Dividend (Of Cash),2021-03-31,0.0,107.98,USD
74,Cummins Inc,Stock,Sell,2021-03-31,-25.0,6551.72,USD
75,Broadcom Inc,Stock,Dividend (Of Cash),2021-03-31,0.0,180.0,USD
76,iShares Core S&P Mid Cap ETF,ETF,Dividend (Of Cash),2021-03-31,0.0,166.8,USD
77,Bank Of America Corp,Stock,Dividend (Of Cash),2021-03-26,0.0,144.0,USD
78,L3harris Technologies In,Stock,Dividend (Of Cash),2021-03-26,0.0,76.5,USD
79,CIGNA Corp,Stock,Dividend (Of Cash),2021-03-25,0.0,130.0,USD
80,SPDR S&P 600 Small Cap Value ETF,ETF,Dividend (Of Cash),2021-03-25,0.0,275.83,USD
81,Home Depot Inc,Stock,Dividend (Of Cash),2021-03-25,0.0,181.5,USD
82,Vanguard FTSE Developed Markets ETF,ETF,Dividend (Of Cash),2021-03-25,0.0,624.24,USD
83,BlackRock Inc,Stock,Dividend (Of Cash),2021-03-23,0.0,144.55,USD
86,VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,Interest Income,2021-03-15,0.0,3000.0,USD
87,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2021-03-15,0.0,0.89,USD
88,Microsoft Corp,Stock,Dividend (Of Cash),2021-03-11,0.0,112.0,USD
89,Prudential Finl,Stock,Dividend (Of Cash),2021-03-11,0.0,230.0,USD
90,Marathon Pete Corp,Stock,Dividend (Of Cash),2021-03-10,0.0,188.5,USD
91,Emerson Electric Co,Stock,Dividend (Of Cash),2021-03-10,0.0,126.25,USD
92,Norfolk Southern Co,Stock,Dividend (Of Cash),2021-03-10,0.0,59.4,USD
93,United Parcel SRVC Class                  B,Stock,Dividend (Of Cash),2021-03-10,0.0,153.0,USD
94,Chevron Corp,Stock,Dividend (Of Cash),2021-03-10,0.0,212.85,USD
95,Johnson & Johnson,Stock,Dividend (Of Cash),2021-03-09,0.0,151.5,USD
96,Amgen Inc.,Stock,Dividend (Of Cash),2021-03-08,0.0,105.6,USD
97,Starbucks Corp,Stock,Dividend (Of Cash),2021-03-05,0.0,101.25,USD
98,Cummins Inc,Stock,Dividend (Of Cash),2021-03-04,0.0,101.25,USD
99,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Dividend (Of Cash),2021-03-04,0.0,165.92,USD
100,Discover Finl S,Stock,Dividend (Of Cash),2021-03-04,0.0,110.0,USD
101,Intel Corp,Stock,Dividend (Of Cash),2021-03-01,0.0,225.88,USD
102,Kroger Co,Stock,Dividend (Of Cash),2021-03-01,0.0,63.0,USD
103,Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,Interest Income,2021-03-01,0.0,2500.0,USD
104,Charles Schwab Corp,Stock,Dividend (Of Cash),2021-02-26,0.0,72.0,USD
105,Schwab Value Advantage Money Fund,Money Market Fund,Sell,2021-02-25,-100000.0,100000.0,USD
106,Exxon Mobil Corp,Stock,Buy,2021-02-24,150.0,-8475.75,USD
107,Cisco Systems Inc,Stock,Sell,2021-02-24,-500.0,22711.93,USD
108,Eastman Chemical Co,Stock,Sell,2021-02-24,-25.0,2849.62,USD
109,Merck & Co. Inc.,Stock,Sell,2021-02-24,-200.0,14998.92,USD
110,Adobe Inc,Stock,Sell,2021-02-24,-20.0,9440.25,USD
111,Procter & Gamble,Stock,Sell,2021-02-24,-45.0,5742.2,USD
112,Chevron Corp,Stock,Sell,2021-02-24,-165.0,16988.329999999998,USD
113,Boston Scientific Co,Stock,Buy,2021-02-24,200.0,-7877.72,USD
115,Schwab Value Advantage Money Fund,Money Market Fund,Sell,2021-02-18,-100000.0,100000.0,USD
117,Procter & Gamble,Stock,Dividend (Of Cash),2021-02-16,0.0,154.19,USD
119,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2021-02-16,0.0,5.82,USD
121,Abbvie Inc,Stock,Dividend (Of Cash),2021-02-16,0.0,169.0,USD
122,Apple Inc,Stock,Dividend (Of Cash),2021-02-11,0.0,92.25,USD
123,Schwab Value Advantage Money Fund,Money Market Fund,Sell,2021-02-10,-50000.0,50000.0,USD
124,Mastercard Inc Class                  A,Stock,Dividend (Of Cash),2021-02-09,0.0,55.0,USD
125,Masco Corp,Stock,Dividend (Of Cash),2021-02-08,0.0,28.0,USD
126,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Dividend (Of Cash),2021-02-04,0.0,94.96,USD
127,Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,Interest Income,2021-02-01,0.0,2000.0,USD
128,VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,Interest Income,2021-02-01,0.0,3750.0,USD
129,J P Morgan Chase & Co,Stock,Dividend (Of Cash),2021-01-31,0.0,180.0,USD
130,Comcast Corp Class                  A,Stock,Dividend (Of Cash),2021-01-27,0.0,115.0,USD
131,Agilent Technologies,Stock,Dividend (Of Cash),2021-01-27,0.0,32.01,USD
132,Cisco Systems Inc,Stock,Dividend (Of Cash),2021-01-20,0.0,180.0,USD
133,Schwab Value Advantage Money Fund,Money Market Fund,Sell,2021-01-19,-50000.0,50000.0,USD
138,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2021-01-15,0.0,3.73,USD
139,Cerner Corp,Stock,Dividend (Of Cash),2021-01-12,0.0,55.0,USD
140,Eastman Chemical Co,Stock,Dividend (Of Cash),2021-01-08,0.0,189.75,USD
141,Merck & Co. Inc.,Stock,Dividend (Of Cash),2021-01-08,0.0,130.0,USD
144,Mckesson Corp Exchange Offer,Stock,Dividend (Of Cash),2021-01-04,0.0,35.7,USD
145,WalMart Inc,Stock,Dividend (Of Cash),2021-01-04,0.0,116.1,USD
147,Schwab Value Advantage Money Fund,Money Market Fund,Distribution,2020-12-31,0.0,2.27,USD
148,Broadcom Inc,Stock,Dividend (Of Cash),2020-12-31,0.0,180.0,USD
149,JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,Buy,2020-12-31,8000.0,-408399.2,USD
150,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2020-12-31,0.0,11.92,USD
152,Nike Inc Class                  B,Stock,Dividend (Of Cash),2020-12-29,0.0,55.0,USD
154,Vanguard FTSE Developed Markets ETF,ETF,Dividend (Of Cash),2020-12-24,0.0,1119.69,USD
156,Bank Of America Corp,Stock,Dividend (Of Cash),2020-12-24,0.0,144.0,USD
157,SPDR S&P 600 Small Cap Value ETF,ETF,Dividend (Of Cash),2020-12-24,0.0,231.62,USD
158,BlackRock Inc,Stock,Dividend (Of Cash),2020-12-21,0.0,127.05,USD
159,iShares MSCI Emerging Markets ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,700.51,USD
160,iShares MSCI EAFE Growth ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,244.96,USD
161,Ishars Edg MSCI USA QLTY FCTR ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,81.56,USD
162,iShares Core S&P Mid Cap ETF,ETF,Dividend (Of Cash),2020-12-18,0.0,164.91,USD
163,Home Depot Inc,Stock,Dividend (Of Cash),2020-12-17,0.0,165.0,USD
164,Prudential Finl,Stock,Dividend (Of Cash),2020-12-17,0.0,220.0,USD
170,Chevron Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,212.85,USD
171,Marathon Pete Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,188.5,USD
172,Emerson Electric Co,Stock,Dividend (Of Cash),2020-12-10,0.0,126.25,USD
173,Microsoft Corp,Stock,Dividend (Of Cash),2020-12-10,0.0,112.0,USD
174,Norfolk Southern Co,Stock,Dividend (Of Cash),2020-12-10,0.0,56.4,USD
175,Amgen Inc.,Stock,Dividend (Of Cash),2020-12-08,0.0,96.0,USD
176,Johnson & Johnson,Stock,Dividend (Of Cash),2020-12-08,0.0,151.5,USD
177,L3harris Technologies In,Stock,Dividend (Of Cash),2020-12-04,0.0,63.75,USD
178,Cummins Inc,Stock,Dividend (Of Cash),2020-12-03,0.0,101.25,USD
179,Discover Finl S,Stock,Dividend (Of Cash),2020-12-03,0.0,110.0,USD
180,United Parcel SRVC Class                  B,Stock,Dividend (Of Cash),2020-12-03,0.0,151.5,USD
181,Kroger Co,Stock,Dividend (Of Cash),2020-12-01,0.0,63.0,USD
182,Intel Corp,Stock,Dividend (Of Cash),2020-12-01,0.0,214.5,USD
183,Starbucks Corp,Stock,Dividend (Of Cash),2020-11-27,0.0,101.25,USD
184,Charles Schwab Corp,Stock,Dividend (Of Cash),2020-11-27,0.0,72.0,USD
188,Abbvie Inc,Stock,Dividend (Of Cash),2020-11-16,0.0,324.5,USD
189,Procter & Gamble,Stock,Dividend (Of Cash),2020-11-16,0.0,197.68,USD
190,Schwab Value Advantage Money Fund,Money Market Fund,Dividend (Of Cash),2020-11-16,0.0,2.72,USD
193,Apple Inc,Stock,Dividend (Of Cash),2020-11-12,0.0,92.25,USD
196,Mastercard Inc Class                  A,Stock,Dividend (Of Cash),2020-11-09,0.0,70.0,USD
197,Masco Corp,Stock,Dividend (Of Cash),2020-11-09,0.0,28.0,USD
198,iShares Core S&P Mid Cap ETF,ETF,Sell,2020-11-05,-50.0,10153.28,USD
199,iShares MSCI EAFE Growth ETF,ETF,Sell,2020-11-05,-80.0,7454.64,USD
200,Chevron Corp,Stock,Sell,2020-11-05,-35.0,2538.49,USD
201,Microsoft Corp,Stock,Sell,2020-11-05,-60.0,13365.0,USD
202,Procter & Gamble,Stock,Sell,2020-11-05,-30.0,4280.46,USD
203,Schwab Value Advantage Money Fund,Money Market Fund,Buy,2020-11-05,300000.0,-300000.0,USD
204,iShares MSCI Emerging Markets ETF,ETF,Sell,2020-11-05,-100.0,4758.39,USD
205,Abbvie Inc,Stock,Sell,2020-11-05,-70.0,6530.86,USD
206,Verizon Communicatn,Stock,Sell,2020-11-05,-200.0,11730.74,USD
207,Starbucks Corp,Stock,Sell,2020-11-05,-25.0,2257.45,USD
208,Mastercard Inc Class                  A,Stock,Sell,2020-11-05,-50.0,15772.15,USD
209,WalMart Inc,Stock,Sell,2020-11-05,-35.0,5013.64,USD
210,Apple Inc,Stock,Sell,2020-11-05,-75.0,8843.92,USD
